"Alert Email Sender","提醒郵件的寄件人 "
"Alert subscription has been saved.","Alert subscription has been saved."
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Click here not to receive alerts for this product","點這裡取消接收本商品提醒 "
"Error Email Recipient","錯誤郵件的收件人 "
"Error Email Sender","錯誤郵件的寄件人 "
"Error Email Template","錯誤郵件的樣板 "
"Frequency","頻率 "
"Not enough parameters.","Not enough parameters."
"Price Alert Email Template","Price Alert Email Template"
"Price:","價格： "
"Product Alerts","商品提醒 "
"Product Alerts Run Settings","商品提醒的設置 "
"Product alerts Cron error","商品提醒定時作業錯誤 "
"Product price alert","商品價格提醒 "
"Product stock alert","商品庫存提醒 "
"Regular Price:","Regular Price:"
"Sign up for price alert","登記價格提醒 "
"Sign up to get notified when this product is back in stock","登記當商品有庫存時的提醒 "
"Special price:","特價： "
"Start Time","開始時間 "
"Stock Alert Email Template","Stock Alert Email Template"
"The alert subscription has been deleted.","The alert subscription has been deleted."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product is not found."
"The product was not found.","The product was not found."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Unsubscribe from all price alerts","退訂所有價格提醒 "
"Unsubscribe from all stock alerts","退訂所有庫存提醒 "
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您接收到本郵件是因為訂閱了以下商品有庫存時的提醒： "
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您接收到本郵件是因為訂閱了以下商品價格變化的提醒： "
"You will no longer receive price alerts for this product.","You will no longer receive price alerts for this product."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
