"You cannot send more than %d times in an hour","1小時內不能發送超過%d次"
"Max Products Sent in 1 Hour","1小時內最多發送的商品數"
"Sender:","發件人:"
"Email to a Friend","發郵件給朋友"
"Send product to a friend","發送商品給朋友"
"Send email","發送郵件"
"Enabled","啟用"
"Add Recipient","增加收件人"
"Name","姓名"
"Name:","姓名："
"You cannot email this product to a friend","不能發送該商品給朋友"
"Remove Email","刪除郵件"
"Message:","內容:"
"Allow for Guests","允許訪客"
"Link to a friend was sent.","給朋友的鏈接已發送。"
"Email Address","電子郵件"
"Email Address:","電子郵件："
"Email:","電子郵件："
"Email templates","電子郵件模板"
"Some emails was not sent","部分郵件沒有發送"
"Some problems with data.","部分數據錯誤。"
"Select email template","選擇郵件模板"
"Limit Sending By","限制發送"
"Maximum %d email addresses allowed.","最多允許%d個郵件地址。"
"Max Recipients","最多收件人"
"Recipient:","收件人： "
